,OutDeg_RedConfltAgu,Indeg_RedConfltAgu,Degree_RedConfliAgu,Degree_RedeIrmonsPr,OutDeg_PaiTiopaterC,Indeg_PaiTiopaterC,OutDeg_TiosMaternos,Indeg_TiosMaternos,Degree_IntimAmigUnd,OutDeg_IntimAmigos_,Indeg_IntimAmigos_,OutDeg_RedeRisk_Cen,Indeg_RedeRisk_Cen,OutDeg_RedeConfianc,Indeg_RedeConfianc,Degree_RedeConflitA,Degree_RedeConflitG,OutDeg_VendaParcela,Indeg_VendaParcela,OutDeg_EmprestParce,Indeg_EmprestParce,PC1_Distance_Pro,PC2_Distance_Pro,Avg_Distancia_Dist_moranza,Degree_RedeTotFamil,1_VarExp_Moranca,2_VarExp_Atri_Tabanca,3_VarExp_Atri_Fanado,4_VarExp_Atri_CargosWM,5_VarExp_Atri_Idade,6_VarExp_Atri_ClassIdade,7_VarExp_Atri_IndForcaFugon,8_VarExp_Atri_IndInvestDiq,9_VarExp_Atri_IndMelhorTecnDiqCint,10_VarExp_Atri_MelhorTecnTubos,Area_bolanha,Degree_Rede_EntreajudaLabur,OutDeg_Var.Dep_RedeControlExtAusencia,OutDeg_Var.Dep_ApoioSpecDiqCint,OutDeg_Var.Dep_ApoioSpecTubos,OutDeg_Var.Dep_RedApoiLevntDiCin,OutDeg_RedCont_DiqPriqDiqCint,OutDeg_RedeRepar_DiqPriqDiqCint,OutDeg_Red-Val_Cont1Rep2DiqCin,OutDeg_Red-Val_Cont1Rep2DiqPrq,OutDeg_ContRep2_DiqPrqCin,OutDeg_Var.Dep_RedePartilhaAgu
Indeg_RedeRisk_Cen,-0.004502186026196794,0.003513157944529694,0.0025372490837584608,0.05721249452798031,0.14257177591368644,-0.06624586216914832,0.027048318740629736,-0.03621569145749197,0.17843109055655612,-0.04652383567060249,0.32760798137311525,0.5366632249960691,1.0,0.05601725438968693,0.3532928631379757,-0.050301904279866,-0.07043794126690539,0.07640974459621079,0.15739839292925564,0.10509695426457842,0.16355638246071688,-0.16146653462814153,0.13472909619040074,-0.05766836058931078,0.03831466517968137,0.0676446211006419,0.26661395187367837,0.1532169334560653,0.02476567747552118,0.2573484588186597,0.1130973206151283,0.2759056785544095,0.29708433906972787,0.40162404271249347,0.09390999116996554,0.5469507946922003,-0.06710159521791856,0.21679253975954912,0.2703302731907761,0.08354763263310128,0.1847965555475303,0.33635657136174174,0.3059050321951906,0.34412239842138537,0.3168231536718316,0.32974333377009485,0.10044324730648903
OutDeg_RedeConfianc,-0.015544164120998242,-0.023967069697366995,-0.03350308360149414,0.25204049793356903,-0.08836279750850796,0.05040052848151575,0.19331561837650627,0.1291905975799779,0.16396024931750577,0.18723797723829394,0.08762211695612743,0.0668285653230681,0.05601725438968693,1.0,0.1555404244823875,-0.019961046675553627,-0.0909254350237962,-0.031228432927858187,-0.059271911254568585,-0.03827197923344999,0.11093224931695128,-0.1917117659946119,0.08733579469749043,-0.03813958817544017,0.2583107260966683,-0.06308362683854372,0.1893331925813405,-0.28129389424215473,0.07576163722523525,-0.15813842117901963,-0.10713526680726568,0.04198777796277789,0.0003312154621845963,0.1852499820127742,0.10024414915630141,0.0612962293422437,-0.02717981894258925,0.23040864792133603,0.19279152044262707,0.08243366905622664,0.0807514630635004,0.12502598603102094,0.1540547809151014,0.13029629936951753,0.10959387963279327,0.15187500621949906,0.2525824627566175
Indeg_RedeConfianc,0.24047792293509207,0.24475827207568399,0.23780219813307196,0.3365407468556834,0.17101523435820346,-0.061004576105798305,0.3599749550027286,0.17492131607443734,0.3712649849529893,0.18815616494678533,0.4721047144004494,0.3199011207392196,0.3532928631379757,0.1555404244823875,1.0,0.007436537342998352,-0.030045596727355912,0.10621968570706558,0.013344614394644367,0.1343734621646713,0.12479284507687854,-0.13592648565274357,0.014184326357364042,-0.21589149861857146,0.3908004785933856,-0.13885247806459639,0.2922668379599077,-0.06363152008738016,0.40241293028949493,0.06688372717357383,0.07222752535861618,0.2722509191467516,0.46998741000251854,0.7888971533162658,0.6492209705495652,0.42419157223874393,-0.030923535065748478,0.6455966123554204,0.8418455329732698,0.6090237552743659,0.6038306349970147,0.8592595827632934,0.8563491720227413,0.684948741327458,0.866082014793022,0.8697495803242329,0.22188817433756755
Degree_RedeConflitA,0.3704810391060597,0.42090466204036986,0.2965896585046667,0.042607667855013465,-0.07962761628695031,-0.022445669362151,0.016294318264116082,0.03133876107101356,-0.014621069521103829,0.0557125147448041,-0.08042215679145702,-0.04026191494666214,-0.050301904279866,-0.019961046675553627,0.007436537342998352,1.0,0.5126959555693245,0.1973249242962048,-0.08086454970510476,-0.08209562904133393,0.24017790774837638,-0.13410661458726558,-0.11163340674158742,-0.06667608272550296,0.025054202050440014,0.10531664241458137,0.07466644091813138,-0.0505213327545022,0.20404103352716052,-0.014199192724309948,-0.03016884504789473,0.1749301628716606,0.008141676607451449,0.05126128617537563,-0.011046222480882132,0.014766759109550515,-0.0020205024762947133,-0.09113562387613168,-0.0016610641956153961,-0.010981223424038258,0.1624554801445648,0.00253421658092205,-0.037585705043982266,-0.0166294132633917,-0.004042331172130257,-0.020619072908669336,0.07476592267719537
Degree_RedeConflitG,0.24638592205396267,0.2733007100206841,0.20621016260510244,0.18786633676460593,0.2620882825865385,0.02025182881308063,0.09408911037094864,-0.041279511600317474,-0.09331138241808672,-0.013939635795334136,-0.04979723976466438,-0.07302717614016821,-0.07043794126690539,-0.0909254350237962,-0.030045596727355912,0.5126959555693245,1.0,0.2828900470865938,0.09265979173964035,-0.040495025736654734,0.1384241456275111,-0.19433308928739568,-0.07175258865616567,-0.06806233423584468,0.18193991158061942,-0.07804333975219224,0.12737749204352897,-0.021809775926611954,0.0955378477336861,0.03946038659206349,0.051809764216464965,0.05941453239634047,-0.02070087912894973,0.05067846214280208,-0.04490126887424139,0.03929771357801053,-0.06251016247153131,-0.10349473334681339,-0.09104284760199681,-0.04365599518971788,0.02650963358395464,0.011949923501112123,-0.015346350444275444,-0.00717882441518293,0.0026444775407193115,-0.004017265226191675,0.2282651523786955
OutDeg_VendaParcela,0.2253624327614775,0.25828028294604727,0.26138407498587096,0.03844803768980467,0.04942252975447902,-0.10573022209394203,0.04480191445085283,-0.03920064299457048,0.13576947935912242,0.06906660413909717,0.1996146921887653,-0.0005330806968600073,0.07640974459621079,-0.031228432927858187,0.10621968570706558,0.1973249242962048,0.2828900470865938,1.0,-0.20647362564586205,-0.13284974871893623,0.3988221705166675,-0.20979796132489442,-0.034971981332084984,-0.33507478718168804,-0.0020320256714318604,0.19847801175003726,0.26157602755741344,-0.06359752265175361,0.08260828222453474,0.10165655672907194,0.10600696094457755,0.10096046931994138,-0.06290374419202745,0.10805275343110027,0.11338436582172959,0.1665860171710833,0.058883870223843865,0.00985898967307254,0.1340943418120999,0.1457146150736352,0.1290687703858314,0.08511649037490873,0.04770657363624373,-0.015088448474527194,0.07554920216458663,0.07241508074846244,0.2596403511022292
Indeg_VendaParcela,-0.1284043356151225,-0.12459256441387537,-0.12532890369851982,0.03429939486959155,0.041826702844100894,0.14728942756179822,-0.08284422723265253,-0.08776817417392951,0.10659497820924424,0.02279184961126303,0.15194893128130532,0.2894535795390568,0.15739839292925564,-0.059271911254568585,0.013344614394644367,-0.08086454970510476,0.09265979173964035,-0.20647362564586205,1.0,0.16909042273189304,-0.013172435755558034,-0.22370486070887255,0.05465340973681636,0.3525157814770622,0.0043415892725641395,-0.11109767008491132,0.05907262246692047,0.07822939763681665,0.07644937471348552,-0.019849010944277736,0.004195580262418706,0.08791552609586709,0.04542496383313094,0.02564192122207175,-0.06875137732268072,0.3203559834497905,0.1340732946354034,0.0788419995082347,-0.048694767153355516,-0.07212561062763063,0.04050316589284471,0.023778411364429757,-0.002141419926609564,0.0440511335952972,-0.006281060449307966,0.0042621719788428925,-0.09835495900299353
OutDeg_EmprestParce,-0.06342102766349265,-0.06153833074642116,-0.05601457826962016,0.07082645987715089,0.06280344294559362,0.028458553599066877,0.020096153846153764,-0.09798038625126376,0.13984729971413762,0.12259010242111895,0.10006312588502762,0.18562956873459646,0.10509695426457842,-0.03827197923344999,0.1343734621646713,-0.08209562904133393,-0.040495025736654734,-0.13284974871893623,0.16909042273189304,1.0,-0.13161836154020487,-0.09984543506002466,0.22395587079571042,0.22151618712018822,0.02500130003599131,-0.15829400132693236,0.08706125328895674,0.16952663346720048,-0.02216959201417291,0.05524510292618802,0.08230722629749655,0.014039460833265417,0.1574315472472943,0.060166469913785124,0.08596300082233803,0.07939500437189849,0.17146021038555093,0.18712231169561402,0.06652996822176893,0.06728298117708446,0.07692058783050448,0.26979211035485945,0.20425629291631034,0.2778669663263538,0.2332948075335011,0.22445537408947897,-0.09948352603791562
Indeg_EmprestParce,0.1741756753282419,0.22836979133219135,0.21533406618998255,0.022770147047463482,0.028860353539421953,-0.0418383890331009,-0.07974839624890209,0.0311927622408323,0.07813417019861152,-0.008379212302747787,0.17614946365539141,0.18080754469728172,0.16355638246071688,0.11093224931695128,0.12479284507687854,0.24017790774837638,0.1384241456275111,0.3988221705166675,-0.013172435755558034,-0.13161836154020487,1.0,-0.15850897459666896,0.09503438434080916,-0.15861833389374633,0.00031205095670822606,0.14834447073997167,0.2816679795596426,-0.029744674860302793,0.07903561675212084,0.0007094003192584395,0.014132951953863852,0.04015727592995087,-0.09282981602879083,0.11575951486673496,0.12214934275639087,0.28811952451295997,0.0213867176572545,0.12008872605752927,0.10669068657021838,0.15624036698263255,0.029711394184460272,0.11351783278214861,0.050354237895474885,0.0267120518487133,0.10281240466915435,0.08815439624603895,0.27076107685736206
PC1_Distance_Pro,-0.27518424221491133,-0.2636089460398776,-0.2555165918943167,-0.1884017680034501,-0.03428290769890526,-0.06251330653428723,-0.14578764759165913,-0.04737134155132371,-0.13903109540689867,-0.08409006887655242,-0.16896509168470417,-0.2568755025976358,-0.16146653462814153,-0.1917117659946119,-0.13592648565274357,-0.13410661458726558,-0.19433308928739568,-0.20979796132489442,-0.22370486070887255,-0.09984543506002466,-0.15850897459666896,1.0,0.034125037361418906,-0.3361750979156209,-0.19870883806554437,-0.036845271699875635,-0.3883254167809838,0.017367473070133192,-0.12071705245672104,-0.16365996708437539,-0.11136419035268007,-0.1543189327463885,-0.01374726042669955,-0.21711378799916217,-0.09296349598168809,-0.24020196191233084,-0.007809624688497449,-0.12183391415047364,-0.11595578513996285,-0.07134455019362543,-0.1758059820562167,-0.2099666794427912,-0.15597661656495931,-0.14204207072556962,-0.18376493596990678,-0.18802673623338703,-0.24491651223125707
PC2_Distance_Pro,-0.10156171756933506,-0.09743590730221689,-0.08290275439650471,0.05865677673784072,0.041622832341609545,0.002039778789250834,0.022465715328373537,0.1298624076128637,0.03714070120093575,-0.05945601335552373,0.10448308111654182,0.2714921819801765,0.13472909619040074,0.08733579469749043,0.014184326357364042,-0.11163340674158742,-0.07175258865616567,-0.034971981332084984,0.05465340973681636,0.22395587079571042,0.09503438434080916,0.034125037361418906,1.0,0.07779449541931388,0.10806585195126357,0.08949172625564383,0.4291536983524782,-0.037206542980558636,-0.08598424694784836,-0.009779894918128511,0.02265287237145878,-0.02084262715835981,-0.011112545954799111,0.008492137533131473,-0.09128957833829066,0.09706328086448422,0.11583583794389353,0.09687075188211,-0.004401092400918319,-0.09193012399405509,0.08487780473019908,0.08187017930085846,0.07955253665597743,0.2719831396199209,0.048675626996826586,0.07706190771058048,-0.03192468456466032
Avg_Distancia_Dist_moranza,-0.10554765849732303,-0.11935372173579463,-0.11438201300436039,-0.1401452534061506,-0.09800353803943872,-0.09588369850754301,-0.06227561386032745,-0.013947957634740311,-0.059066733904634,0.023986355748643242,-0.17677034086176338,-0.001866543805243862,-0.05766836058931078,-0.03813958817544017,-0.21589149861857146,-0.06667608272550296,-0.06806233423584468,-0.33507478718168804,0.3525157814770622,0.22151618712018822,-0.15861833389374633,-0.3361750979156209,0.07779449541931388,1.0,-0.14858044998939518,0.021384726512408126,-0.30743067383290124,0.21208164269733654,-0.1775496452024389,0.08210261756388841,0.10046423399491669,-0.09908554906013116,-0.03155969393944185,-0.16456169023875256,-0.09468715648480916,-0.24462342508595228,0.30174399134882,-0.10222984238472957,-0.15672760596250063,-0.08655221888092465,-0.21222433537749905,-0.18657551195184308,-0.20796188173564967,-0.16261336003918184,-0.19334916694986812,-0.2082527156277073,-0.16246876421649004
Degree_RedeTotFamil,0.10931681741376953,0.10607167234578063,0.09229242804381303,0.8117833573309513,0.23277216921661592,0.11884892654445776,0.7049972606853862,0.5470004374225657,-0.026021546769885332,-0.030597161610094358,0.08812198902879721,-0.001897967437440423,0.03831466517968137,0.2583107260966683,0.3908004785933856,0.025054202050440014,0.18193991158061942,-0.0020320256714318604,0.0043415892725641395,0.02500130003599131,0.00031205095670822606,-0.19870883806554437,0.10806585195126357,-0.14858044998939518,1.0,-0.32674717675830145,0.2985339978304979,-0.24618863998891602,0.210400151440192,-0.12920769599641502,-0.09326945993947705,0.09742369453238911,0.1306767443882743,0.3199130586538231,0.4208736728262643,0.11270494044289127,-0.11417323849135143,0.25819320008186647,0.32513471621646045,0.4049236826616308,0.15327650267689222,0.40931691922031727,0.35262932228478794,0.1751967220758232,0.39228529630036796,0.38292443206561333,0.21289870079286102
1_VarExp_Moranca,0.05695160640818428,0.05028023300821598,0.06983288150141838,-0.285034974661451,-0.16526050777863677,-0.13265329587022107,-0.2212154873266258,-0.062395029223872425,-0.02250978631437948,0.005361971746139985,-0.04406160486456586,0.08410298490279249,0.0676446211006419,-0.06308362683854372,-0.13885247806459639,0.10531664241458137,-0.07804333975219224,0.19847801175003726,-0.11109767008491132,-0.15829400132693236,0.14834447073997167,-0.036845271699875635,0.08949172625564383,0.021384726512408126,-0.32674717675830145,1.0,0.008680548012221135,-0.03824895150033512,-0.05626866715354926,0.06035125803548566,0.07377938262987924,-0.007850912064088056,-0.17949849287482994,-0.13139497806603673,-0.17073290182537695,0.07337627289996577,-0.04246667537819452,-0.0272271447930027,-0.1807732525301023,-0.15700947962680112,-0.12964390769764172,-0.19596354357255263,-0.20058877111519108,-0.1678635115275022,-0.20489907405742502,-0.20171332625282007,-0.03910616093805218
