,OutDeg_RedConfltAgu,Indeg_RedConfltAgu,Degree_RedConfliAgu,Degree_RedeIrmonsPr,OutDeg_PaiTiopaterC,Indeg_PaiTiopaterC,OutDeg_TiosMaternos,Indeg_TiosMaternos,Degree_IntimAmigUnd,OutDeg_IntimAmigos_,Indeg_IntimAmigos_,OutDeg_RedeRisk_Cen,Indeg_RedeRisk_Cen,OutDeg_RedeConfianc,Indeg_RedeConfianc,Degree_RedeConflitA,Degree_RedeConflitG,OutDeg_VendaParcela,Indeg_VendaParcela,OutDeg_EmprestParce,Indeg_EmprestParce,PC1_Distance_Pro,PC2_Distance_Pro,Avg_Distancia_Dist_moranza,Degree_RedeTotFamil,1_VarExp_Moranca,2_VarExp_Atri_Tabanca,3_VarExp_Atri_Fanado,4_VarExp_Atri_CargosWM,5_VarExp_Atri_Idade,6_VarExp_Atri_ClassIdade,7_VarExp_Atri_IndForcaFugon,8_VarExp_Atri_IndInvestDiq,9_VarExp_Atri_IndMelhorTecnDiqCint,10_VarExp_Atri_MelhorTecnTubos,Area_bolanha,Degree_Rede_EntreajudaLabur,Indeg_Var.Dep_RedeControlExtAusencia,Indeg_Var.Dep_ApoioSpecDiqCint,Indeg_Var.Dep_ApoioSpecTubos,Indeg_Var.Dep_RedApoiLevntDiCin,Indeg_RedCont_DiqPriqDiqCint,Indeg_RedeRepar_DiqPriqDiqCint,Indeg_Red-Val_Cont1Rep2DiqCin,Indeg_Red-Val_Cont1Rep2DiqPrq,Indeg_ContRep2_DiqPrqCin,Indeg_Var.Dep_RedePartilhaAgu
Indeg_IntimAmigos_,0.15136780458875507,0.15830874092563896,0.14995378531924883,0.05542027211136589,0.12854899726154867,-0.06354033351048506,0.034012685333726526,0.08161108904817098,0.7168087605586128,0.12408849203685135,1.0,0.33569051437030323,0.32760798137311525,0.08762211695612743,0.4721047144004494,-0.08042215679145702,-0.04979723976466438,0.1996146921887653,0.15194893128130532,0.10006312588502762,0.17614946365539141,-0.16896509168470417,0.10448308111654182,-0.17677034086176338,0.08812198902879721,-0.04406160486456586,0.3401265412922834,0.001192204971859163,0.226538026544907,0.0882344214542014,0.04985903062153476,0.3526738968907249,0.29337765967858076,0.45478795477927814,0.22797718315638074,0.45825137606394883,-0.035599981468030124,0.10050675389884546,0.22827356984807382,0.19777042046744603,0.16882517895443339,0.17782973467433588,0.09114060686108809,0.1280969219581315,0.10565790170644895,0.15123324417243914,0.28372038000556776
OutDeg_RedeRisk_Cen,0.1109152249426714,0.1264283452854611,0.1331852407123133,-0.04548882657761486,0.1782782113968749,0.09334855374975352,-0.07042841883314545,-0.03617251929209101,0.21484590386050376,0.007647697527907649,0.33569051437030323,1.0,0.5366632249960691,0.0668285653230681,0.3199011207392196,-0.04026191494666214,-0.07302717614016821,-0.0005330806968600073,0.2894535795390568,0.18562956873459646,0.18080754469728172,-0.2568755025976358,0.2714921819801765,-0.001866543805243862,-0.001897967437440423,0.08410298490279249,0.38828610428520677,0.02821336534084669,0.03993062833483393,0.14783704372285525,0.09844864141551711,0.1765530550832037,0.23132143269937952,0.3055680805381227,0.045125042122497724,0.5712222015791836,-0.013120854653241538,0.045817263990171594,0.20018048820846884,0.12459768301702316,0.3169254916190472,0.14528344088675152,0.12189428417336691,0.3076398473882496,0.11493949974536916,0.15445205911306079,0.2737968345357751
Indeg_RedeRisk_Cen,-0.004502186026196794,0.003513157944529694,0.0025372490837584608,0.05721249452798031,0.14257177591368644,-0.06624586216914832,0.027048318740629736,-0.03621569145749197,0.17843109055655612,-0.04652383567060249,0.32760798137311525,0.5366632249960691,1.0,0.05601725438968693,0.3532928631379757,-0.050301904279866,-0.07043794126690539,0.07640974459621079,0.15739839292925564,0.10509695426457842,0.16355638246071688,-0.16146653462814153,0.13472909619040074,-0.05766836058931078,0.03831466517968137,0.0676446211006419,0.26661395187367837,0.1532169334560653,0.02476567747552118,0.2573484588186597,0.1130973206151283,0.2759056785544095,0.29708433906972787,0.40162404271249347,0.09390999116996554,0.5469507946922003,-0.06710159521791856,-0.027719487755860705,0.20961597590529293,0.07040400501649104,0.270249288098801,0.03314132492969502,0.01898392308493823,0.23518103827655482,-0.03608751311553058,0.05472014910883227,0.3664169443965963
OutDeg_RedeConfianc,-0.015544164120998242,-0.023967069697366995,-0.03350308360149414,0.25204049793356903,-0.08836279750850796,0.05040052848151575,0.19331561837650627,0.1291905975799779,0.16396024931750577,0.18723797723829394,0.08762211695612743,0.0668285653230681,0.05601725438968693,1.0,0.1555404244823875,-0.019961046675553627,-0.0909254350237962,-0.031228432927858187,-0.059271911254568585,-0.03827197923344999,0.11093224931695128,-0.1917117659946119,0.08733579469749043,-0.03813958817544017,0.2583107260966683,-0.06308362683854372,0.1893331925813405,-0.28129389424215473,0.07576163722523525,-0.15813842117901963,-0.10713526680726568,0.04198777796277789,0.0003312154621845963,0.1852499820127742,0.10024414915630141,0.0612962293422437,-0.02717981894258925,0.1650736062623888,0.22174775636028055,0.1671473376901944,0.1992310843994436,0.45940792077282633,0.467141576835108,0.18979419177121098,0.5284405796896842,0.48063140605425453,0.021345698696573313
Indeg_RedeConfianc,0.24047792293509207,0.24475827207568399,0.23780219813307196,0.3365407468556834,0.17101523435820346,-0.061004576105798305,0.3599749550027286,0.17492131607443734,0.3712649849529893,0.18815616494678533,0.4721047144004494,0.3199011207392196,0.3532928631379757,0.1555404244823875,1.0,0.007436537342998352,-0.030045596727355912,0.10621968570706558,0.013344614394644367,0.1343734621646713,0.12479284507687854,-0.13592648565274357,0.014184326357364042,-0.21589149861857146,0.3908004785933856,-0.13885247806459639,0.2922668379599077,-0.06363152008738016,0.40241293028949493,0.06688372717357383,0.07222752535861618,0.2722509191467516,0.46998741000251854,0.7888971533162658,0.6492209705495652,0.42419157223874393,-0.030923535065748478,0.1591561407918873,0.1555940124913044,0.04969504043747531,0.3405532390215602,0.3130168556000949,0.2737958298777525,0.4010822324036484,0.1995222961180363,0.3161946149678001,0.31538979038480375
Degree_RedeConflitA,0.3704810391060597,0.42090466204036986,0.2965896585046667,0.042607667855013465,-0.07962761628695031,-0.022445669362151,0.016294318264116082,0.03133876107101356,-0.014621069521103829,0.0557125147448041,-0.08042215679145702,-0.04026191494666214,-0.050301904279866,-0.019961046675553627,0.007436537342998352,1.0,0.5126959555693245,0.1973249242962048,-0.08086454970510476,-0.08209562904133393,0.24017790774837638,-0.13410661458726558,-0.11163340674158742,-0.06667608272550296,0.025054202050440014,0.10531664241458137,0.07466644091813138,-0.0505213327545022,0.20404103352716052,-0.014199192724309948,-0.03016884504789473,0.1749301628716606,0.008141676607451449,0.05126128617537563,-0.011046222480882132,0.014766759109550515,-0.0020205024762947133,-0.04271164677330768,0.02572300861632549,0.08087600246374423,0.07911174701616741,0.05431193286262739,0.01758954988603659,0.15912602713778434,-0.052871564180101326,0.05100898455162806,-0.043096464902529316
Degree_RedeConflitG,0.24638592205396267,0.2733007100206841,0.20621016260510244,0.18786633676460593,0.2620882825865385,0.02025182881308063,0.09408911037094864,-0.041279511600317474,-0.09331138241808672,-0.013939635795334136,-0.04979723976466438,-0.07302717614016821,-0.07043794126690539,-0.0909254350237962,-0.030045596727355912,0.5126959555693245,1.0,0.2828900470865938,0.09265979173964035,-0.040495025736654734,0.1384241456275111,-0.19433308928739568,-0.07175258865616567,-0.06806233423584468,0.18193991158061942,-0.07804333975219224,0.12737749204352897,-0.021809775926611954,0.0955378477336861,0.03946038659206349,0.051809764216464965,0.05941453239634047,-0.02070087912894973,0.05067846214280208,-0.04490126887424139,0.03929771357801053,-0.06251016247153131,-0.09435288391121083,0.05017205292318194,0.13311056170756322,0.12437246101259694,0.10593399903519152,0.12462889856058532,0.1894378485847986,0.04691006137716243,0.12089428770304703,-0.06841126567710928
OutDeg_VendaParcela,0.2253624327614775,0.25828028294604727,0.26138407498587096,0.03844803768980467,0.04942252975447902,-0.10573022209394203,0.04480191445085283,-0.03920064299457048,0.13576947935912242,0.06906660413909717,0.1996146921887653,-0.0005330806968600073,0.07640974459621079,-0.031228432927858187,0.10621968570706558,0.1973249242962048,0.2828900470865938,1.0,-0.20647362564586205,-0.13284974871893623,0.3988221705166675,-0.20979796132489442,-0.034971981332084984,-0.33507478718168804,-0.0020320256714318604,0.19847801175003726,0.26157602755741344,-0.06359752265175361,0.08260828222453474,0.10165655672907194,0.10600696094457755,0.10096046931994138,-0.06290374419202745,0.10805275343110027,0.11338436582172959,0.1665860171710833,0.058883870223843865,-0.027701239732027646,0.10121368415727167,0.0472029825408735,0.04586018041015996,0.12245786562430999,0.1327902419900416,0.07309056057843145,0.05692862667553094,0.1487877014512117,-0.06332950108034151
Indeg_VendaParcela,-0.1284043356151225,-0.12459256441387537,-0.12532890369851982,0.03429939486959155,0.041826702844100894,0.14728942756179822,-0.08284422723265253,-0.08776817417392951,0.10659497820924424,0.02279184961126303,0.15194893128130532,0.2894535795390568,0.15739839292925564,-0.059271911254568585,0.013344614394644367,-0.08086454970510476,0.09265979173964035,-0.20647362564586205,1.0,0.16909042273189304,-0.013172435755558034,-0.22370486070887255,0.05465340973681636,0.3525157814770622,0.0043415892725641395,-0.11109767008491132,0.05907262246692047,0.07822939763681665,0.07644937471348552,-0.019849010944277736,0.004195580262418706,0.08791552609586709,0.04542496383313094,0.02564192122207175,-0.06875137732268072,0.3203559834497905,0.1340732946354034,-0.0265230391990354,0.06051595681758736,0.09559038597420219,0.04842454064177155,-0.07662732661800369,0.008656752529797637,0.03226735362282455,-0.005636107450845699,-0.011406233303136414,0.23177801268185008
OutDeg_EmprestParce,-0.06342102766349265,-0.06153833074642116,-0.05601457826962016,0.07082645987715089,0.06280344294559362,0.028458553599066877,0.020096153846153764,-0.09798038625126376,0.13984729971413762,0.12259010242111895,0.10006312588502762,0.18562956873459646,0.10509695426457842,-0.03827197923344999,0.1343734621646713,-0.08209562904133393,-0.040495025736654734,-0.13284974871893623,0.16909042273189304,1.0,-0.13161836154020487,-0.09984543506002466,0.22395587079571042,0.22151618712018822,0.02500130003599131,-0.15829400132693236,0.08706125328895674,0.16952663346720048,-0.02216959201417291,0.05524510292618802,0.08230722629749655,0.014039460833265417,0.1574315472472943,0.060166469913785124,0.08596300082233803,0.07939500437189849,0.17146021038555093,0.05258295686381385,0.09064356218790685,0.09713749363168463,0.11109404245534832,0.07775694924410767,0.12004504547861237,0.1217908176961685,0.0842211444513372,0.11843586299939933,0.13474075339626326
